Institución que abrió la licitación,Institución Destino,Fecha de apertura,Mantenimiento de la oferta,Código de licitación,N° Expediente,Descripción Extraida,Producto,Cantidad,Unidades,Nro Renglón,Línea de Producto,Latitud,Longitud
HOSPITAL INTERZONAL GENERAL DE AGUDOS V. LOPEZ Y PLANES,HOSPITAL INTERZONAL GENERAL DE AGUDOS V. LOPEZ Y PLANES,2025-01-07,Treinta (30) días hábiles administrativos,Licitación Privada N° 12/2025,EX-2024-40567419- -GDEBA-HIAVLPMSALGP,FÓRMULA COMPLETA LISTA PARA USAR EN PEDIATRÍA-NORMOCALÓRICA-PROTEÍNA ENTERA SIN LACTOSA (1-6 AÑOS Ó 8-20KG) Ó (1-12 AÑOS) 1KCAL/ML 500ML - PACK CERRADO - UNIDAD,"**D**NUTRINI STANDARD PACK 0,5 L.",800,ML,14,Nutrini,,
HOSPITAL INTERZONAL GENERAL DE AGUDOS V. LOPEZ Y PLANES,HOSPITAL INTERZONAL GENERAL DE AGUDOS V. LOPEZ Y PLANES,2025-01-07,Treinta (30) días hábiles administrativos,Licitación Privada N° 12/2025,EX-2024-40567419- -GDEBA-HIAVLPMSALGP,"FÓRMULA ENTERAL LISTA P/USAR - HIPERCALORICA-HIPERPROTEICA-PROTEINA HIDROLIZADA- SIN FIBRA- TAURINA, CARNITINA, ARGININA 1.3 CAL/ML 1000 ML ESPECÍFICA P/PACIENTES C/ESTRÉS METABÓLICO",NUTRISON ADVANCED PEPTISORB PA 1000ML,50,ML,15,Nutrison,,
HOSPITAL INTERZONAL GENERAL DE AGUDOS V. LOPEZ Y PLANES,HOSPITAL INTERZONAL GENERAL DE AGUDOS V. LOPEZ Y PLANES,2025-01-07,Treinta (30) días hábiles administrativos,Licitación Privada N° 12/2025,EX-2024-40567419- -GDEBA-HIAVLPMSALGP,"FÓRMULA ENTERAL LISTA P/USAR - HIPERCALORICA-HIPERPROTEICA-PROTEINA HIDROLIZADA- SIN FIBRA- TAURINA, CARNITINA, ARGININA 1.3 CAL/ML 1000 ML ESPECÍFICA P/PACIENTES C/ESTRÉS METABÓLICO",NUTRISON PROTEIN INTENSE BOTELLA X 500ML,50,ML,15,Nutrison,,
HOSPITAL INTERZONAL GENERAL DE AGUDOS V. LOPEZ Y PLANES,HOSPITAL INTERZONAL GENERAL DE AGUDOS V. LOPEZ Y PLANES,2025-01-07,Treinta (30) días hábiles administrativos,Licitación Privada N° 12/2025,EX-2024-40567419- -GDEBA-HIAVLPMSALGP,"FÓRMULA ENTERAL LISTA P/USAR -NORMOCALORICA-HIPERPROTEICA PROTEINA HIDROLIZADA-SIN FIBRAS-P/PACIENTES ESTRESADOS/ALTO REQUERIMIENTO PROTEICO 1 CAL/ML-500 ML GLUTAMINA,ARGININA",NUTRISON ADVANCED PEPTISORB PA 1000ML,200,ML,16,Nutrison,,
HOSPITAL INTERZONAL GENERAL DE AGUDOS V. LOPEZ Y PLANES,HOSPITAL INTERZONAL GENERAL DE AGUDOS V. LOPEZ Y PLANES,2025-01-07,Treinta (30) días hábiles administrativos,Licitación Privada N° 12/2025,EX-2024-40567419- -GDEBA-HIAVLPMSALGP,"FÓRMULA ENTERAL LISTA P/USAR -NORMOCALORICA-HIPERPROTEICA PROTEINA HIDROLIZADA-SIN FIBRAS-P/PACIENTES ESTRESADOS/ALTO REQUERIMIENTO PROTEICO 1 CAL/ML-500 ML GLUTAMINA,ARGININA",NUTRISON PROTEIN INTENSE BOTELLA X 500ML,200,ML,16,Nutrison,,
HOSPITAL INTERZONAL GENERAL DE AGUDOS V. LOPEZ Y PLANES,HOSPITAL INTERZONAL GENERAL DE AGUDOS V. LOPEZ Y PLANES,2025-01-07,Treinta (30) días hábiles administrativos,Licitación Privada N° 12/2025,EX-2024-40567419- -GDEBA-HIAVLPMSALGP,FÓRMULA ENTERAL LISTA P/USAR NORMOCALORICA-NORMOPROTEICA PROTEINA ENTERA-CONFIBRAS-ESPECIFICA P/ HIPERGLUCEMINA/DIABETES - 1 CAL/ML 1000 ML,NUTRISON ADVANCED DIASON PACK X 1L,800,ML,17,Nutrison,,
HOSPITAL INTERZONAL GENERAL DE AGUDOS V. LOPEZ Y PLANES,HOSPITAL INTERZONAL GENERAL DE AGUDOS V. LOPEZ Y PLANES,2025-01-07,Treinta (30) días hábiles administrativos,Licitación Privada N° 12/2025,EX-2024-40567419- -GDEBA-HIAVLPMSALGP,FÓRMULA COMPLETA EN POLVO PARA PEDIATRÍA PROTEÍNAS PARCIALMENTE HIDROLIZADAS-SIN LACTOSA 0.67KCAL/ML 400G. LATA-UNIDAD CASEINATO DE SODIO HIDROLIZADO 100%,KAS 1000 LATA X 400G,100,GRS,18,Kas 1000,,
HOSPITAL INTERZONAL GENERAL DE AGUDOS V. LOPEZ Y PLANES,HOSPITAL INTERZONAL GENERAL DE AGUDOS V. LOPEZ Y PLANES,2025-01-07,Treinta (30) días hábiles administrativos,Licitación Privada N° 12/2025,EX-2024-40567419- -GDEBA-HIAVLPMSALGP,FÓRMULA COMPLETA EN POLVO PARA PEDIATRÍA PROTEÍNAS PARCIALMENTE HIDROLIZADAS-SIN LACTOSA 0.67KCAL/ML 400G. LATA-UNIDAD CASEINATO DE SODIO HIDROLIZADO 100%,NUTRILON PEPTI JUNIOR LATA X 400G,100,GRS,18,Nutrilon,,
MUNICIPALIDAD DE ESTEBAN ECHEVERRÍA,HOSPITAL SANTAMARINA,2024-09-26,1 Mes,4631,4795,"ALIMENTACION ENTERAL - SUPLEMENTO NUTRITIVO ESPECIAL TIPO KAS100 A BASE DE CASEINATO DE SODIO HIDROLIZADO Y MALTODEXTRINA, PARA LACTANTES Y NIÑOS EN LA PRIMERA INFANCIA. LIBRE DE GLUTEN - PRESENTACION X 400GR",KAS 1000 LATA X 400G,10000,C/U,3,Kas 1000,-34.8191362,-58.4669266
MUNICIPALIDAD DE ESTEBAN ECHEVERRÍA,HOSPITAL SANTAMARINA,2024-09-26,1 Mes,4631,4795,ALIMENTACION ENTERAL - TIPO LECHE ANTIREFLUJO A.R - PRESENTACION X 400GR,VITAL AR LATA X 400G,10000,C/U,5,Vital,-34.8191362,-58.4669266
MUNICIPALIDAD DE ROSARIO,HOSPITAL DE NIÑOS VICTOR J. VILELA,2025-02-11,30 días,03-005/2025,30050/2025,FORMULA COMPLETA PEDIATRICA HIPERCALORICA (1.5 CAL/ML) LIQ X 250 ML APROX (FREBINI DRINK O SIMIL),FORTINI COMPACT MF FRUT BOT 125 ML,96,LIQ,10,Fortini,-32.94713,-60.6322023
MUNICIPALIDAD DE ROSARIO,HOSPITAL DE NIÑOS VICTOR J. VILELA,2025-02-11,30 días,03-005/2025,30050/2025,TRIGLICERIDOS DE CADENA MEDIANA SOL X 500 ML APROX (TCM- MCT OIL O SIMIL),ACEITE MCT NUTRICIA 500 ML,6,ML,28,MCT Oil,-32.94713,-60.6322023
HOSPITAL MATERNO INFANTIL SAN ROQUE,HOSPITAL MATERNO INFANTIL SAN ROQUE,2025-02-20,30 dias habiles,438/2025,,LECHE ENTERA EN POLVO X 800 GRS O 1 KG,NUTRILON 1 LATA X 800G,180,GRS,2,Nutrilon,-31.73,-60.5217
HOSPITAL PROVINCIAL DE ROSARIO,HOSPITAL PROVINCIAL DE ROSARIO,2025-02-19,90 días,2025-11-01 00:00:00,298/25,Formula enteral liquida x litro(Fresubin original),NUTRISON PACK  STD. 1000ML,270,LITRO,8,Nutrison,-32.9561037,-60.6310329
HOSPITAL PROVINCIAL DE ROSARIO,HOSPITAL PROVINCIAL DE ROSARIO,2025-02-19,90 días,2025-11-01 00:00:00,298/25,Formula hipercalorica hiperproteica x 500 ml,NUTRISON PROTEIN INTENSE BOTELLA X 500ML,180,ML,9,Nutrison,-32.9561037,-60.6310329
HOSPITAL PROVINCIAL DE ROSARIO,HOSPITAL PROVINCIAL DE ROSARIO,2025-02-19,90 días,2025-11-01 00:00:00,298/25,Formula Hipercalorica liquida 200 ml,FORTISIP VAINILLA BOTELLA X 200ML,1700,ML,10,Fortisip,-32.9561037,-60.6310329
HOSPITAL PROVINCIAL DE ROSARIO,HOSPITAL PROVINCIAL DE ROSARIO,2025-02-19,90 días,2025-11-01 00:00:00,298/25,"Formula polimerica hipercalorica 1,5 kcal/ml x litro",NUTRISON PACK ENERGY 1000 ML,100,LITRO,11,Nutrison,-32.9561037,-60.6310329
HOSPITAL PROVINCIAL DE ROSARIO,HOSPITAL PROVINCIAL DE ROSARIO,2025-02-19,90 días,2025-11-01 00:00:00,298/25,Hidrolizado extenso de proteina de leche de vaca,NUTRILON PEPTI JUNIOR LATA X 400G,60,G,13,Nutrilon,-32.9561037,-60.6310329
HOSPITAL PROVINCIAL DE ROSARIO,HOSPITAL PROVINCIAL DE ROSARIO,2025-02-19,90 días,2025-11-01 00:00:00,298/25,Proteina a base de Caseinato lata 250 g polvo (tipo SECALBUM),SECALBUM LATA X 225 GR,12,G,14,Secalbum,-32.9561037,-60.6310329
HOSPITAL TEODORO SCHESTAKOW,HOSPITAL TEODORO SCHESTAKOW,2025-02-12,30 Días hábiles,20803-0030-CDI25,EX-2025-00902404- -GDEMZA-HSCHESTAKOW#MSDSYD,ACEITE DE TRIGLICÉRIDOS Presentación: X 500 ML,ACEITE MCT NUTRICIA 500 ML,10,UNIDAD/S,2,MCT Oil,-34.6200977,-68.3252993
GOBIERNO DE LA PROVINCIA DE SAN LUIS,DIRECCION FARMACOS E INSUMOS MEDICOS,,30 días corridos,CONCURSO DE PRECIOS Nº 714-MHeIP-DCyC-2025,EXD Nº 01230503/2025,MEDICAMENTOS- Tipo Nutricion Hipercalorica liquida- Envase x 200 cc - Contenido 1 UNIDAD,FORTISIP VAINILLA BOTELLA X 200ML,2800,UNIDAD,1,Fortisip,-33.3041501,-66.294658
HOSPITAL DR. RENÉ FAVALORO,HOSPITAL DR. RENÉ FAVALORO,,,91/2024,,OPCIÓN 1: PROTEIN INTENSE DE 500ML,NUTRISON PROTEIN INTENSE BOTELLA X 500ML,360,,1,Nutrison,-34.704399,-58.6393522
HOSPITAL DR. RENÉ FAVALORO,HOSPITAL DR. RENÉ FAVALORO,,,91/2024,,OPCIÓN 1: FRESUBIN ORIGINAL FIBRA DE 1000ML,NUTRISON PACK MULTI FIBRE 1000,24,,3,Nutrison,-34.704399,-58.6393522
HOSPITAL DR. RENÉ FAVALORO,HOSPITAL DR. RENÉ FAVALORO,,,91/2024,,OPCIÓN 1: FRESUBIN ORIGINAL FIBRA DE 1000ML,NUTRISON PACK  STD. 1000ML,24,,3,Nutrison,-34.704399,-58.6393522
HOSPITAL DR. RENÉ FAVALORO,HOSPITAL DR. RENÉ FAVALORO,,,91/2024,,OPCIÓN 2: NUTRISON MULTI FIBRE DE 1000ML,NUTRISON PACK MULTI FIBRE 1000,24,,3,Nutrison,-34.704399,-58.6393522
HOSPITAL DR. RENÉ FAVALORO,HOSPITAL DR. RENÉ FAVALORO,,,91/2024,,"OPCIÓN 1: GLUCERNA 1,5 DE 1000ML",NUTRISON ADVANCED DIASON PACK X 1L,120,,4,Nutrison,-34.704399,-58.6393522
HOSPITAL DR. RENÉ FAVALORO,HOSPITAL DR. RENÉ FAVALORO,,,91/2024,,OPCIÓN 1: FRESUBIN DRINK DE 200ML,FORTISIP VAINILLA BOTELLA X 200ML,240,,8,Fortisip,-34.704399,-58.6393522
HOSPITAL DR. RENÉ FAVALORO,HOSPITAL DR. RENÉ FAVALORO,,,91/2024,,OPCIÓN 2: FORTISIP DE 200ML,FORTISIP VAINILLA BOTELLA X 200ML,240,,8,Fortisip,-34.704399,-58.6393522
HOSPITAL DR. RENÉ FAVALORO,HOSPITAL DR. RENÉ FAVALORO,,,91/2024,,OPCIÓN 2: DIASIP DE 200ML,DIASIP VAINILLA X 4 X 200 ML,72,,9,Diasip,-34.704399,-58.6393522
HOSPITAL MATERNO INFANTIL DR. HECTOR QUINTANA,HOSPITAL MATERNO INFANTIL DR. HECTOR QUINTANA,2025-02-19,30 dias,Contratación Directa 161/2025,0--0/0,"ALIMENTO CETOGÉNICO A BASE DE LIPIDOS, PROTEINAS, VITAMINAS Y MINERALES PARA NIÑOS MAYORES DE 1 AÑO X 300 GRS. T: Ketocal 4:1",KETOCAL 4:1 6X300G,24,ENVASE/S,1,Ketocal,-24.1812028,-65.3151528
HOSPITAL MATERNO INFANTIL DR. HECTOR QUINTANA,HOSPITAL MATERNO INFANTIL DR. HECTOR QUINTANA,2025-02-19,30 dias,Contratación Directa 161/2025,0--0/0,"SUPLEMENTO DIETARIO EN POLVO A BASE DE HC, PROTEINAS, LIPIDOS, FIBRAS, VITAMINAS Y MINERALES P/ NIÑOS MENORES DE 10 AÑOS X 400 GRS LIBRE DE GLUTEN. LIBRE LACTOSA SIN TACC TIPO PEDIASURE",FORTINI NEUTRO LATA X 400G,300,UNIDAD/ES,2,Fortini,-24.1812028,-65.3151528
HOSPITAL MATERNO INFANTIL DR. HECTOR QUINTANA,HOSPITAL MATERNO INFANTIL DR. HECTOR QUINTANA,2025-02-19,30 dias,Contratación Directa 161/2025,0--0/0,ALIMENTO NUTRICIONAL CON PROTEINAS EXTENSAMENTE HIDROLIZABLE BAJO EN SODIO X 400 GRS TIPO PEPTI JUNIOR,NUTRILON PEPTI JUNIOR LATA X 400G,200,ENVASE/S,3,Nutrilon,-24.1812028,-65.3151528
HOSPITAL MATERNO INFANTIL DR. HECTOR QUINTANA,HOSPITAL MATERNO INFANTIL DR. HECTOR QUINTANA,2025-02-19,30 dias,Contratación Directa 161/2025,0--0/0,ALIMENTO LIBRE DE LACTOSA X 400 GRS,NUTRILON SIN LACTOSA LATA X350G,400,ENVASE/S,4,Nutrilon,-24.1812028,-65.3151528
PROVINCIA DE SANTA FE,HOSPITAL PROTOMÉDICO MANUEL RODRÍGUEZ,2025-02-13,30 DÍAS,CONTRATACION DIRECTA ACELERADA Nº 6-2025,7827,"CASEINATO DE CALCIO (SUPLEMENTO PROTEICO): Alimento para propósitos médicos específicos de proteínas a base del caseinato de calcio en polvo. Sin TACC. Sabor Neutro. Tipo: Secalbum, Nutrex CC. (Las presentaciones pueden ser de 225 a 350 gramos)",SECALBUM LATA X 225 GR,12,GRAMOS,3,Secalbum,-30.3154739,-61.1645076
PROVINCIA DE SANTA FE,HOSPITAL PROTOMÉDICO MANUEL RODRÍGUEZ,2025-02-13,30 DÍAS,CONTRATACION DIRECTA ACELERADA Nº 6-2025,7827,"FORMULA COMPLETA CON HIDRATOS DE CARBONO MODIFICADOS PARA PACIENTES DIABETICOS: Alimento en polvo para propósitos médicos específicos, para adultos, modificado en el contenido de carbohidratos para pacientes con diabetes o con alteración del metabolismo de la glucosa. Sin sabor. Libre de gluten. Tipo: Glucerna, Avant DBT. (Las presentaciones pueden ser 300 a 800 gramos)",DIASIP LATA X 350G,12,GRAMOS,4,Diasip,-30.3154739,-61.1645076
MUNICIPALIDAD DE VICENTE LÓPEZ,"HOSPITAL MUNICIPAL PROF. DR. BERNARDO A. HOUSSAY, MATERNIDAD SANTA ROSA, HOSPITAL GERIÁTRICO RODRIGUEZ ORTEGA Y DIRECCIÓN DE ATENCIÓN PRIMARIA",2024-10-08,30 días hábiles,PLIE-223-2024,,ALMIDON DE MAIZ MODIFICADO ESPESANTE INSTANTANEO X 300 GRS,ESPESAN PLUS (NUTILIS) 12X300G ARG,140,UN,2,Espesan,-34.5112578,-58.4906088
MUNICIPALIDAD DE VICENTE LÓPEZ,"HOSPITAL MUNICIPAL PROF. DR. BERNARDO A. HOUSSAY, MATERNIDAD SANTA ROSA, HOSPITAL GERIÁTRICO RODRIGUEZ ORTEGA Y DIRECCIÓN DE ATENCIÓN PRIMARIA",2024-10-08,30 días hábiles,PLIE-223-2024,,CASEINATO DE CALCIO POLVO SECALBUM X 250 GRS,SECALBUM LATA X 225 GR,48,UN,3,Secalbum,-34.5112578,-58.4906088
MUNICIPALIDAD DE VICENTE LÓPEZ,"HOSPITAL MUNICIPAL PROF. DR. BERNARDO A. HOUSSAY, MATERNIDAD SANTA ROSA, HOSPITAL GERIÁTRICO RODRIGUEZ ORTEGA Y DIRECCIÓN DE ATENCIÓN PRIMARIA",2024-10-08,30 días hábiles,PLIE-223-2024,,FORMULA CON HMB ENSURE CLINICAL RTH FRASCO X 500 ML,NUTRISON PROTEIN INTENSE BOTELLA X 500ML,500,UN,5,Nutrison,-34.5112578,-58.4906088
MUNICIPALIDAD DE VICENTE LÓPEZ,"HOSPITAL MUNICIPAL PROF. DR. BERNARDO A. HOUSSAY, MATERNIDAD SANTA ROSA, HOSPITAL GERIÁTRICO RODRIGUEZ ORTEGA Y DIRECCIÓN DE ATENCIÓN PRIMARIA",2024-10-08,30 días hábiles,PLIE-223-2024,,FORMULA ENTERAL HIPERPROTEICA E HIPERCALORICA PARA PACIENTES CRITICO ENV. X500CC T/NUTRISON ADVANCE PROTISON,NUTRISON ADVANCED PROTISON BTLLA X 500ML,600,UN,7,Nutrison,-34.5112578,-58.4906088
MUNICIPALIDAD DE VICENTE LÓPEZ,"HOSPITAL MUNICIPAL PROF. DR. BERNARDO A. HOUSSAY, MATERNIDAD SANTA ROSA, HOSPITAL GERIÁTRICO RODRIGUEZ ORTEGA Y DIRECCIÓN DE ATENCIÓN PRIMARIA",2024-10-08,30 días hábiles,PLIE-223-2024,,"FORMULA ESPECIALMENTE DISEÑADA PARA LACTANTES CON SINTOMAS ASOCIADOS AL REFLUJO GASTROESOFAGICO TIPO ENFABEBE AR VITAL AR, NUTRILON AR",NUTRILON AR 1 LATA X 400G,3,UN,8,Nutrilon,-34.5112578,-58.4906088
MUNICIPALIDAD DE VICENTE LÓPEZ,"HOSPITAL MUNICIPAL PROF. DR. BERNARDO A. HOUSSAY, MATERNIDAD SANTA ROSA, HOSPITAL GERIÁTRICO RODRIGUEZ ORTEGA Y DIRECCIÓN DE ATENCIÓN PRIMARIA",2024-10-08,30 días hábiles,PLIE-223-2024,,"FORMULA ESPECIALMENTE DISEÑADA PARA LACTANTES CON SINTOMAS ASOCIADOS AL REFLUJO GASTROESOFAGICO TIPO ENFABEBE AR VITAL AR, NUTRILON AR",VITAL AR LATA X 400G,3,UN,8,Vital,-34.5112578,-58.4906088
MUNICIPALIDAD DE VICENTE LÓPEZ,"HOSPITAL MUNICIPAL PROF. DR. BERNARDO A. HOUSSAY, MATERNIDAD SANTA ROSA, HOSPITAL GERIÁTRICO RODRIGUEZ ORTEGA Y DIRECCIÓN DE ATENCIÓN PRIMARIA",2024-10-08,30 días hábiles,PLIE-223-2024,,FORMULA ISOCALORICA NUTRICIONALMENTE COMPLETA PARA PACIENTES DIABETICOS E HIPEGLUCEMICOS TIPO DIASIP POLVO,DIASIP LATA X 350G,100,UN,9,Diasip,-34.5112578,-58.4906088
MUNICIPALIDAD DE VICENTE LÓPEZ,"HOSPITAL MUNICIPAL PROF. DR. BERNARDO A. HOUSSAY, MATERNIDAD SANTA ROSA, HOSPITAL GERIÁTRICO RODRIGUEZ ORTEGA Y DIRECCIÓN DE ATENCIÓN PRIMARIA",2024-10-08,30 días hábiles,PLIE-223-2024,,FORMULA LACTEA DE INICIO EN POLVO (DESDE EL NACIMIENTO HASTA LOS 6 MESES DE EDAD) TIPO VITAL INFANTIL I- LATA CON CIERRE HERMETICO X900 GR APROX,VITAL 1 X 800G,24,UN,10,Vital,-34.5112578,-58.4906088
MUNICIPALIDAD DE VICENTE LÓPEZ,"HOSPITAL MUNICIPAL PROF. DR. BERNARDO A. HOUSSAY, MATERNIDAD SANTA ROSA, HOSPITAL GERIÁTRICO RODRIGUEZ ORTEGA Y DIRECCIÓN DE ATENCIÓN PRIMARIA",2024-10-08,30 días hábiles,PLIE-223-2024,,"FORMULA LIQUIDA COMPLETA ESPECIALIZADA P/PERSONAS C/DIABETES MELLITUS E HIPERGLUCEMIAS, ISOCALORICAS, T/DIASON GLUCERNA",NUTRISON ADVANCED DIASON PACK X 1L,1200,UN,12,Nutrison,-34.5112578,-58.4906088
MUNICIPALIDAD DE VICENTE LÓPEZ,"HOSPITAL MUNICIPAL PROF. DR. BERNARDO A. HOUSSAY, MATERNIDAD SANTA ROSA, HOSPITAL GERIÁTRICO RODRIGUEZ ORTEGA Y DIRECCIÓN DE ATENCIÓN PRIMARIA",2024-10-08,30 días hábiles,PLIE-223-2024,,"FORMULA LIQUIDA ISOCALORICA, LISTA PARA USAR, CON HIDROLIZADO DE PROTEINAS TIPO SURBIMED OPD HN",NUTRISON ADVANCED PEPTISORB PA 1000ML,600,UN,14,Nutrison,-34.5112578,-58.4906088
MUNICIPALIDAD DE VICENTE LÓPEZ,"HOSPITAL MUNICIPAL PROF. DR. BERNARDO A. HOUSSAY, MATERNIDAD SANTA ROSA, HOSPITAL GERIÁTRICO RODRIGUEZ ORTEGA Y DIRECCIÓN DE ATENCIÓN PRIMARIA",2024-10-08,30 días hábiles,PLIE-223-2024,,FORMULA LIQUIDA NUTRICIONALMENTE COMPLETA HIPERCALORICA E HIPERPROTEICA (LISTA PARA USAR) T/ NUTRISION ENERGY,NUTRISON PACK ENERGY 1000 ML,2400,UN,15,Nutrison,-34.5112578,-58.4906088
MUNICIPALIDAD DE VICENTE LÓPEZ,"HOSPITAL MUNICIPAL PROF. DR. BERNARDO A. HOUSSAY, MATERNIDAD SANTA ROSA, HOSPITAL GERIÁTRICO RODRIGUEZ ORTEGA Y DIRECCIÓN DE ATENCIÓN PRIMARIA",2024-10-08,30 días hábiles,PLIE-223-2024,,"FORMULA LIQUIDA NUTRICIONALMENTE COMPLETA Y BALANCEADA ISOCALORICA, DE BAJO RESIDUO,(LISTA PARA USAR) T/NUTRISON, STANDARD, OSMOLITE",NUTRISON PACK  STD. 1000ML,2400,UN,16,Nutrison,-34.5112578,-58.4906088
MUNICIPALIDAD DE VICENTE LÓPEZ,"HOSPITAL MUNICIPAL PROF. DR. BERNARDO A. HOUSSAY, MATERNIDAD SANTA ROSA, HOSPITAL GERIÁTRICO RODRIGUEZ ORTEGA Y DIRECCIÓN DE ATENCIÓN PRIMARIA",2024-10-08,30 días hábiles,PLIE-223-2024,,FORMULA SEMIELEMENTAL ISOCALORICA EN POLVO PARA PACIENTES CON FUNCION GASTROUNTESTINAL DISMINUIDA. TIPO PEPTISORB/SUSTENTA SEMI ELEMENTAL,NUTRISON ADVANCED PEPTISORB PA 1000ML,150,UN,17,Nutrison,-34.5112578,-58.4906088
MUNICIPALIDAD DE VICENTE LÓPEZ,"HOSPITAL MUNICIPAL PROF. DR. BERNARDO A. HOUSSAY, MATERNIDAD SANTA ROSA, HOSPITAL GERIÁTRICO RODRIGUEZ ORTEGA Y DIRECCIÓN DE ATENCIÓN PRIMARIA",2024-10-08,30 días hábiles,PLIE-223-2024,,SUPLEMENTO NUTRICIONAL LIQUIDO VIA ORAL HIPERCALORICO E HIPERPROTEICO ENSURE PLUS/ FORTISIP/ FRESUBIN/ ENBRACE X200ML,FORTISIP VAINILLA BOTELLA X 200ML,1,UN,20,Fortisip,-34.5112578,-58.4906088
MUNICIPALIDAD DE VICENTE LÓPEZ,"HOSPITAL MUNICIPAL PROF. DR. BERNARDO A. HOUSSAY, MATERNIDAD SANTA ROSA, HOSPITAL GERIÁTRICO RODRIGUEZ ORTEGA Y DIRECCIÓN DE ATENCIÓN PRIMARIA",2024-10-08,30 días hábiles,PLIE-223-2024,,SUPLEMENTO NUTRICIONAL COMPLETO Y BALANCEADO VIA ORAL CON HMB BOT 237ML ENSURE ADVANCE SHAKE,FORTISIP VAINILLA BOTELLA X 200ML,1200,UN,23,Fortisip,-34.5112578,-58.4906088
MUNICIPALIDAD DE VICENTE LÓPEZ,"HOSPITAL MUNICIPAL PROF. DR. BERNARDO A. HOUSSAY, MATERNIDAD SANTA ROSA, HOSPITAL GERIÁTRICO RODRIGUEZ ORTEGA Y DIRECCIÓN DE ATENCIÓN PRIMARIA",2024-10-08,30 días hábiles,PLIE-223-2024,,SUPLEMENTO NUTRICIONAL HIPERCALORICO E HIPERPROTEICO VIA ORAL CON HMB BOT 220ML ENSURE CLINICAL,FORTISIP COMPACT VAN 24X125ML PB AR,600,UN,24,Fortisip,-34.5112578,-58.4906088
MUNICIPALIDAD DE VICENTE LÓPEZ,"HOSPITAL MUNICIPAL PROF. DR. BERNARDO A. HOUSSAY, MATERNIDAD SANTA ROSA, HOSPITAL GERIÁTRICO RODRIGUEZ ORTEGA Y DIRECCIÓN DE ATENCIÓN PRIMARIA",2024-10-08,30 días hábiles,PLIE-223-2024,,SUPLEMENTO NUTRICIONAL LIQUIDO PARA PACIENTES DIABETICOS PARA ADMINISTRACION POR VIA ORAL TIPO DIASIP/GLUCERNA SR/DIBEN,DIASIP VAINILLA X 4 X 200 ML,500,UN,25,Diasip,-34.5112578,-58.4906088
MUNICIPALIDAD DE VICENTE LÓPEZ,"HOSPITAL MUNICIPAL PROF. DR. BERNARDO A. HOUSSAY, MATERNIDAD SANTA ROSA, HOSPITAL GERIÁTRICO RODRIGUEZ ORTEGA Y DIRECCIÓN DE ATENCIÓN PRIMARIA",2024-10-08,30 días hábiles,PLIE-223-2024,,SUPLEMENTO NUTRICIONAL LIQUIDO VIA ORAL HIPERCALORICO E HIPERPROTEICO ENSURE PLUS /FORTISIP/ FRESUBIN/ ENBRACE X200ML,FORTISIP VAINILLA BOTELLA X 200ML,600,UN,26,Fortisip,-34.5112578,-58.4906088
MUNICIPALIDAD DE VICENTE LÓPEZ,"HOSPITAL MUNICIPAL PROF. DR. BERNARDO A. HOUSSAY, MATERNIDAD SANTA ROSA, HOSPITAL GERIÁTRICO RODRIGUEZ ORTEGA Y DIRECCIÓN DE ATENCIÓN PRIMARIA",2024-10-08,30 días hábiles,PLIE-223-2024,,SUPLEMENTO NUTRICIONAL PARA PACIENTE RENAL PRE DIALISIS (TRATAMIENTO CONSERVADOR BAJO EN PROTEINAS)X200ML FRESUBIN RENAL,FORTISIP COMPACT VAN 24X125ML PB AR,300,UN,27,Fortisip,-34.5112578,-58.4906088
MUNICIPALIDAD DE VICENTE LÓPEZ,"HOSPITAL MUNICIPAL PROF. DR. BERNARDO A. HOUSSAY, MATERNIDAD SANTA ROSA, HOSPITAL GERIÁTRICO RODRIGUEZ ORTEGA Y DIRECCIÓN DE ATENCIÓN PRIMARIA",2024-10-08,30 días hábiles,PLIE-223-2024,,"SUPLEMENTO ORAL SEMISOLIDO NUTRICIONALMENTE COMPLETO CON ALTA DENSIDAD ENERGETICA, ALTO PROTEICO 250 CALORIAS POR POTE DE 125GR",FORTISIP COMPACT VAN 24X125ML PB AR,720,UN,28,Fortisip,-34.5112578,-58.4906088
MUNICIPALIDAD DE VICENTE LÓPEZ,"HOSPITAL MUNICIPAL PROF. DR. BERNARDO A. HOUSSAY, MATERNIDAD SANTA ROSA, HOSPITAL GERIÁTRICO RODRIGUEZ ORTEGA Y DIRECCIÓN DE ATENCIÓN PRIMARIA",2024-10-08,30 días hábiles,PLIE-223-2024,,LECHE FLUIDA PARA PREMATUROS 70 ML APROX,NUTRILON PREMATUROS 1 BOTELLA X 70ML,2400,UN,30,Nutrilon,-34.5112578,-58.4906088
MUNICIPALIDAD DE VICENTE LÓPEZ,"HOSPITAL MUNICIPAL PROF. DR. BERNARDO A. HOUSSAY, MATERNIDAD SANTA ROSA, HOSPITAL GERIÁTRICO RODRIGUEZ ORTEGA Y DIRECCIÓN DE ATENCIÓN PRIMARIA",2024-10-08,30 días hábiles,PLIE-223-2024,,ALMIDON DE MAIZ MODIFICADO ESPESANTE INSTANTANEO X 300 GRS,ESPESAN PLUS (NUTILIS) 12X300G ARG,43,UN,32,Espesan,-34.5112578,-58.4906088
